,Pin,Address,City,Township,Property Classification,Square Footage (Land),Neighborhood,Taxcode,Next Scheduled Reassessment,Description,Residence Type,Use,Exterior Construction,Full Baths,Half Baths,Basement1,Attic,Central Air,Number of Fireplaces,Garage,Age,Building Square Footage,Assessment Phase,Homeowner_2021,Senior_2021,Senior Freeze_2021,Homeowner_2020,Senior_2020,Senior Freeze_2020,Homeowner_2019,Senior_2019,Senior Freeze_2019,Homeowner_2018,Senior_2018,Senior Freeze_2018,Apartments,Risk,Property Value,Bill Returned,Prior Possibly Unpaid,Tax Due
88,20-09-324-014-0000,733 W 54TH ST,CHICAGO,Lake,210,2083,92,72102,2024,"Old style row house, over 62 years",Two Story,Single Family,Masonry,1,0,Full and Unfinished,None,No,0,None,128,1416,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,86170,No,Yes,1234.76
89,20-16-101-030-0000,5635 S EMERALD AVE,CHICAGO,Lake,241,3125,92,72001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,20310,No,Yes,408.03
90,20-16-101-066-0000,5636 S UNION AVE HSE,CHICAGO,Lake,202,3125,92,72001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,1 car detached,130,777,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,70700,No,No,889.36
91,20-16-312-020-0000,450 W 60TH PL,CHICAGO,Lake,203,4200,92,72082,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,1,Full and Unfinished,Partial and Living Area,No,0,None,136,1373,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,84110,No,No,1877.73
92,20-14-308-032-0000,6148 S INGLESIDE AVE,CHICAGO,Hyde Park,210,2765,70,70001,2024,"Old style row house, over 62 years",Two Story,Single Family,Masonry,2,0,Full and Unfinished,None,No,2,2 car detached,123,1870,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,139770,Yes,Yes,865.32
93,20-14-409-037-1011,6102 S DORCHESTER AVE 2W,CHICAGO,Hyde Park,299,17917,70,70001,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,87,0,Assessor Valuation,Yes,No,No,No,No,No,No,No,No,No,No,No,0,high,77300,No,No,1022.2
94,20-15-118-028-1030,370 E 58TH ST P-5,CHICAGO,Hyde Park,299,17493,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,108,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,9560,No,Yes,192.09
95,20-15-411-008-0000,6125 S RHODES AVE 1,CHICAGO,Hyde Park,211,3720,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,2 car detached,110,2801,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,151130,No,No,3450.44
96,20-15-413-034-1002,6121 S CHAMPLAIN AVE 1,CHICAGO,Hyde Park,299,3745,30,70063,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,110,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,152760,No,No,3403.04
97,20-15-422-006-0000,6225 S LANGLEY AVE,CHICAGO,Hyde Park,211,3050,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,1.5 car detached,103,2952,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,high,167980,Yes,No,3146.25
98,20-22-106-052-0000,6662 S HARTWELL AVE,CHICAGO,Hyde Park,203,3125,30,70001,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,2,0,Full and Unfinished,Full and Living Area,No,0,None,130,1071,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,115580,No,Yes,967.22
99,20-16-323-004-0000,447 W 62ND ST,CHICAGO,Lake,205,4257,92,72082,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,1,0,Full and Unfinished,Full and Unfinished,No,1,None,129,1970,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,97160,No,No,2169.04
100,20-16-323-015-0000,409 W 62ND ST,CHICAGO,Lake,205,3379,92,72082,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,2,1,Full and Unfinished,Full and Living Area,No,1,None,135,2196,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,105880,No,No,2363.75
101,20-16-325-014-0000,511 W ENGLEWOOD AVE,CHICAGO,Lake,211,3225,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,3,0,Full and Unfinished,None,No,0,2 car detached,120,2304,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,3,high,89310,Yes,Yes,1373.59
102,20-16-400-012-0000,315 W 59TH ST,CHICAGO,Lake,211,4329,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,2 car detached,143,2400,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,102060,Yes,Yes,2356.93
103,20-16-400-032-0000,5914 S PRINCETON AVE,CHICAGO,Lake,211,2513,92,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame/Masonry,2,0,Full and Unfinished,Full and Unfinished,No,0,None,140,2200,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,high,89840,No,Yes,1385.85
104,20-22-201-039-0000,6345 S VERNON AVE,CHICAGO,Hyde Park,210,2306,30,70063,2024,"Old style row house, over 62 years",Two Story,Single Family,Masonry,1,0,Full and Unfinished,None,No,0,None,73,932,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,109060,Yes,Yes,1745.65
105,20-22-206-033-0000,6348 S EVANS AVE,CHICAGO,Hyde Park,211,3660,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,None,None,No,0,None,113,1518,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,141280,Yes,Yes,1146.01
106,20-16-407-018-0000,330 W 60TH PL,CHICAGO,Lake,203,3187,92,72082,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,1 car detached,130,1055,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,76190,No,Yes,1700.93
107,20-22-217-033-0000,6532 S EBERHART AVE,CHICAGO,Hyde Park,203,2928,30,70063,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Masonry,1,0,Full and Unfinished,Full and Living Area,No,0,2 car detached,130,1434,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,137440,No,Yes,972.04
108,20-22-304-009-0000,6711 S PRAIRIE AVE HSE,CHICAGO,Hyde Park,202,3125,30,70001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Masonry,2,0,Full and Rec Room,None,No,0,None,105,952,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,130230,Yes,Yes,2907.37
109,20-22-311-005-0000,6809 S CALUMET AVE,CHICAGO,Hyde Park,204,3125,30,70001,2024,"One story residence, any age, 1,801 square feet and over",One Story,Single Family,Masonry,1,0,Full and Unfinished,Full and Unfinished,No,0,None,103,1982,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,153990,No,Yes,2748.63
110,20-23-101-026-0000,6322 S DREXEL AVE 2,CHICAGO,Hyde Park,211,3338,70,70018,2024,"Two to six apartments, over 62 years",Three Story,Multi Family,Masonry,3,0,Full and Unfinished,None,No,0,2 car detached,116,4014,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,3,high,216940,Yes,No,4897.41
111,20-23-104-013-0000,6351 S DREXEL AVE 1,CHICAGO,Hyde Park,211,3325,70,70018,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,None,120,2732,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,163360,Yes,No,3687.73
112,20-08-111-024-0000,4859 S BISHOP ST,CHICAGO,Lake,212,2987,51,72001,2024,"Two to six apartments, up to 62 years",Two Story,Multi Family,Frame,4,1,Partial and Unfinished,Full and Unfinished,No,0,None,127,3404,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,4,high,79120,Yes,No,1848.59
113,20-08-125-018-0000,5043 S JUSTINE ST,CHICAGO,Lake,202,3000,91,72096,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,Full and Unfinished,No,0,None,135,640,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,42410,Yes,Yes,963.69
114,20-08-214-002-0000,5007 S RACINE AVE,CHICAGO,Lake,203,3150,91,72018,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,2,0,Full and Unfinished,Full and Living Area,No,0,2 car detached,122,1224,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,60230,No,Yes,1359.74
115,20-08-310-008-0000,5221 S LAFLIN ST,CHICAGO,Lake,211,3125,91,72001,2024,"Two to six apartments, over 62 years",One Story,Multi Family,Frame,2,0,Full and Apartment,Full and Unfinished,No,0,None,125,1408,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,57610,No,No,1330.46
116,20-08-414-015-0000,5243 S PEORIA ST,CHICAGO,Lake,211,3597,91,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,None,89,2152,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,high,74390,Yes,Yes,1029.02
117,20-15-112-016-0000,5612 S SOUTH PARK AVE,CHICAGO,Hyde Park,211,5425,10,70102,2024,"Two to six apartments, over 62 years",Three Story,Multi Family,Masonry,6,1,Full and Unfinished,None,No,3,None,108,6912,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,5,high,283940,No,No,2977.17
118,20-22-216-025-0000,6518 S VERNON AVE,CHICAGO,Hyde Park,203,2928,30,70063,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Masonry,1,0,Full and Unfinished,Full and Living Area,No,0,None,90,1008,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,126930,No,No,1301.36
119,20-23-104-071-0000,6444 S INGLESIDE AVE,CHICAGO,Hyde Park,210,2194,70,70018,2024,"Old style row house, over 62 years",Two Story,Single Family,Masonry,2,0,Full and Rec Room,None,No,3,1 car detached,122,2124,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,135400,Yes,No,1057.19
120,20-22-411-053-1001,6840 S LANGLEY AVE 1,CHICAGO,Hyde Park,299,3030,30,70083,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,115,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,102160,Yes,Yes,2275.77
121,20-23-119-041-1008,6512 S WOODLAWN AVE P-2,CHICAGO,Hyde Park,299,6339,70,70001,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,12,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,9670,No,Yes,214.14
122,20-21-112-034-0000,6448 S NORMAL BLVD,CHICAGO,Lake,205,4125,92,72082,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,2,0,Full and Unfinished,Full and Unfinished,No,0,1 car detached,130,1804,Assessor Valuation,No,No,No,No,No,No,Yes,No,No,No,No,No,0,moderate,99580,Yes,Yes,2223.13
123,20-08-130-025-0000,5016 S ELIZABETH ST,CHICAGO,Lake,100,3125,91,72018,2024,Vacant land,Vacant,Vacant,None,0,0,None,None,No,0,None,-1,2772,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,moderate,64150,Yes,Yes,234.37
124,20-16-408-001-0000,257 W 60TH ST,CHICAGO,Lake,205,3625,92,72082,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,2,0,None,None,No,0,1 car detached,130,1816,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,98540,No,No,623.45
125,20-22-228-010-0000,6627 S SAINT LAWRENCE AVE,CHICAGO,Hyde Park,211,3026,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,1,Full and Rec Room,None,No,0,2 car detached,110,1308,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,113600,Yes,No,2471.24
126,20-22-404-003-0000,6715 S CHAMPLAIN AVE,CHICAGO,Hyde Park,211,3100,30,70083,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,None,117,1892,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,126900,Yes,No,2897.38
127,20-22-410-052-1001,6831 S SAINT LAWRENCE AVE 1,CHICAGO,Hyde Park,299,3046,30,70083,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,106,0,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,198000,No,Yes,1379.33
128,20-21-113-017-0000,6449 S NORMAL BLVD,CHICAGO,Lake,204,4250,92,72082,2024,"One story residence, any age, 1,801 square feet and over",One Story,Single Family,Stucco,1,1,Full and Unfinished,Full and Living Area,No,0,2 car detached,125,1955,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,103200,No,Yes,900
129,20-07-206-025-0000,4749 S PAULINA ST,CHICAGO,Lake,211,3125,80,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,4,0,Full and Unfinished,Full and Unfinished,No,0,2 car detached,120,3040,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,4,high,91320,No,No,991.36
130,20-08-104-036-0000,4736 S ADA ST,CHICAGO,Lake,211,3000,51,72018,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,2,None,Full and Unfinished,No,0,None,136,2646,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,high,83600,No,No,896.91
131,20-08-128-001-0000,5001 S LOOMIS ST 2,CHICAGO,Lake,211,3968,91,72001,2024,"Two to six apartments, over 62 years",One Story,Multi Family,Masonry,3,0,None,None,No,0,2 car detached,112,2250,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,3,high,68430,No,Yes,410.01
132,20-08-212-029-0000,920 W 50TH ST,CHICAGO,Lake,202,3750,91,72103,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,1 car detached,90,903,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,high,56170,No,No,579.17
133,20-08-219-009-0000,837 W 50TH ST HSE,CHICAGO,Lake,203,3125,91,72018,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,None,95,1023,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,high,55870,No,No,579.27
134,20-09-301-009-0000,5129 S EMERALD AVE,CHICAGO,Lake,202,3125,92,72102,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,None,No,0,1 car detached,130,840,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,102180,Yes,Yes,1454.34
135,20-09-301-012-0000,5135 S EMERALD AVE,CHICAGO,Lake,205,3125,92,72102,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,2,0,Full and Unfinished,None,No,0,1 car detached,130,1848,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,108890,No,No,1741.86
136,20-09-317-033-0000,5324 S UNION AVE,CHICAGO,Lake,203,3150,92,72102,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,Partial and Unfinished,No,0,None,130,1234,Assessor Valuation,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,0,low,115270,No,Yes,1333.08
137,20-09-324-040-0000,5422 S UNION AVE,CHICAGO,Lake,211,3125,92,72102,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Rec Room,None,No,0,2 car detached,92,1640,Assessor Valuation,No,No,No,No,No,No,Yes,No,No,No,No,No,0,low,96170,Yes,Yes,581.86
138,20-09-329-027-0000,646 W GARFIELD BLVD,CHICAGO,Lake,211,3125,92,72102,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,1 car detached,94,2164,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,low,144880,No,No,2656.78
139,20-09-329-028-0000,644 W GARFIELD BLVD,CHICAGO,Lake,211,3125,92,72102,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,2,Full and Unfinished,None,No,0,None,125,3380,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,low,144880,No,No,3882.45
140,20-16-121-015-0000,5839 S EMERALD AVE,CHICAGO,Lake,202,3125,92,72001,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,None,None,No,0,1 car detached,130,924,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,73940,No,No,961.71
141,20-16-209-007-0000,346 W 58TH ST,CHICAGO,Lake,211,3400,92,72001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame,2,0,Full and Unfinished,Partial and Unfinished,No,0,None,135,1793,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,low,87110,Yes,Yes,2011.74
142,20-16-210-011-0000,5739 S PRINCETON AVE HSE,CHICAGO,Lake,234,3075,92,72001,2024,"Split level residence with a lower level below grade, all ages, all sizes",Three Story,Single Family,Frame,1,0,Partial and Rec Room,None,No,0,None,52,1000,Assessor Valuation,Yes,No,No,No,No,No,No,No,No,No,No,No,0,low,88630,No,No,738.4
143,20-16-210-036-0000,5750 S WELLS ST,CHICAGO,Lake,241,2316,92,72001,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,15050,No,Yes,146.5
144,20-16-300-056-0000,709 W 59TH ST 1,CHICAGO,Lake,211,2650,130,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Rec Room,None,No,0,2 car detached,105,1256,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,low,47450,No,Yes,394.52
145,20-16-301-029-0000,639 W 59TH ST,CHICAGO,Lake,211,2500,130,72082,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Frame/Masonry,2,0,Full and Unfinished,None,No,0,1 car detached,120,1596,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,49670,Yes,Yes,1134.16
146,20-14-409-037-1012,6102 S DORCHESTER AVE 3W,CHICAGO,Hyde Park,299,17917,70,70001,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,87,0,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,77300,No,No,470.12
147,20-15-118-025-1016,5745 S CALUMET AVE P8,CHICAGO,Hyde Park,299,8742,10,70102,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,123,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,11740,No,Yes,260.17
148,20-16-319-029-0000,516 W 62ND ST,CHICAGO,Lake,205,3960,92,72082,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Frame,2,0,Full and Rec Room,None,No,0,None,115,1638,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,95580,Yes,Yes,1444.7
149,20-15-401-006-0000,423 E 60TH ST,CHICAGO,Hyde Park,211,7500,30,70063,2024,"Two to six apartments, over 62 years",Three Story,Multi Family,Masonry,6,0,Full and Unfinished,None,No,0,3 car detached,110,7608,Assessor Valuation,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,3,low,282870,No,No,2745
150,20-15-401-007-0000,425 E 60TH ST,CHICAGO,Hyde Park,241,7500,30,70063,2024,Vacant land under common ownership with adjacent residence,Vacant,Vacant,None,0,0,None,None,No,0,None,0,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,93750,No,Yes,1490.87
151,20-15-404-036-1003,541 E 60TH ST,CHICAGO,Hyde Park,299,7500,30,70063,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,94,0,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,29750,No,No,663.02
152,20-15-412-014-0000,6149 S SAINT LAWRENCE AVE,CHICAGO,Hyde Park,211,3660,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,None,None,No,0,2 car detached,110,2768,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,2,low,151080,No,Yes,1352.36
153,20-16-326-028-1002,449 W ENGLEWOOD AVE B,CHICAGO,Lake,299,4744,92,72082,2024,Residential condominium,Condo,Condo,Other,0,0,None,None,No,0,None,117,0,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,0,low,123240,No,Yes,2076.58
154,20-16-400-007-0000,331 W 59TH ST,CHICAGO,Lake,202,3075,92,72082,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Stucco,1,1,Full and Rec Room,None,No,0,None,135,906,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,76170,Yes,No,1011.52
155,20-16-400-008-0000,329 W 59TH ST,CHICAGO,Lake,202,3075,92,72082,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,None,No,0,None,130,987,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,73400,No,No,1638.65
156,20-16-400-011-0000,321 W 59TH ST,CHICAGO,Lake,202,5535,92,72082,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Stucco,1,0,Full and Rec Room,Full and Living Area,No,0,1 car detached,145,978,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,81660,No,No,1823.09
157,20-22-213-022-0000,6412 S LANGLEY AVE,CHICAGO,Hyde Park,202,2928,30,70063,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Masonry,2,0,Partial and Unfinished,Partial and Living Area,No,0,None,106,915,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,112050,No,Yes,1812.55
158,20-22-214-045-0000,6401 S LANGLEY AVE,CHICAGO,Hyde Park,212,5352,30,70063,2024,"Two to six apartments, up to 62 years",Two Story,Multi Family,Frame,3,0,None,None,No,0,None,19,2540,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,3,low,219490,No,Yes,5011.37
159,20-22-215-009-0000,6427 S EVANS AVE,CHICAGO,Hyde Park,211,3050,30,70063,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,2,0,Full and Unfinished,None,No,0,2 car detached,120,2100,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,low,152470,No,No,3481.24
160,20-22-216-041-0000,6500 S VERNON AVE,CHICAGO,Hyde Park,203,5856,30,70063,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Masonry,1,0,Full and Unfinished,None,No,0,None,60,1150,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,159190,No,No,459
161,20-22-223-031-0000,6538 S COTTAGE GROVE AVE,CHICAGO,Hyde Park,212,2928,30,70018,2024,"Two to six apartments, up to 62 years",Two Story,Multi Family,Frame,2,1,Partial and Unfinished,Full and Unfinished,No,0,None,117,2710,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,3,low,143150,No,Yes,3268.27
162,20-22-304-023-0000,6753 S PRAIRIE AVE,CHICAGO,Hyde Park,203,3125,30,70001,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame/Masonry,1,0,None,Partial and Unfinished,No,0,2 car detached,125,1164,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,131400,Yes,Yes,2933.56
163,20-22-310-005-0000,6809 S PRAIRIE AVE,CHICAGO,Hyde Park,203,3125,30,70001,2024,"One story residence, any age, 1,000 to 1,800 square feet",One Story,Single Family,Frame,1,0,Full and Unfinished,Partial and Living Area,No,0,2 car detached,130,1479,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,0,low,140450,No,Yes,2446.43
164,20-22-310-021-0000,6853 S PRAIRIE AVE,CHICAGO,Hyde Park,211,3125,30,70001,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,3,0,Full and Apartment,None,No,0,None,140,2953,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,3,low,158380,No,No,492.31
165,20-22-310-047-0000,6854 S CALUMET AVE,CHICAGO,Hyde Park,210,1456,30,70001,2024,"Old style row house, over 62 years",One Story,Single Family,Masonry,1,1,Full and Unfinished,None,No,0,None,130,1710,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,0,low,122720,Yes,No,1258.21
166,20-22-402-034-0000,6734 S SAINT LAWRENCE AVE,CHICAGO,Hyde Park,202,3100,30,70063,2024,"One story residence, any age, up to 999 square feet",One Story,Single Family,Masonry,1,0,Full and Unfinished,None,No,0,2 car detached,97,716,Assessor Valuation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,0,low,109340,Yes,Yes,1062.85
167,20-22-405-040-0000,6700 S EVANS AVE,CHICAGO,Hyde Park,205,4880,30,70083,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Masonry,1,1,Full and Unfinished,None,No,0,2 car detached,68,1541,Assessor Valuation,Yes,No,No,Yes,No,N/A,Yes,No,No,Yes,No,No,0,low,167400,No,Yes,1650.66
168,20-22-410-038-0000,6834 S CHAMPLAIN AVE,CHICAGO,Hyde Park,205,3050,30,70083,2024,"Two or more story residence, over 62 years, up to 2,200 sq.ft.",Two Story,Single Family,Masonry,2,0,Full and Unfinished,None,No,0,None,111,1237,Assessor Valuation,Yes,No,No,No,No,No,No,No,No,No,No,No,0,low,137820,No,No,1836.6
169,20-23-103-022-0000,853 E 64TH PL 2,CHICAGO,Hyde Park,211,3930,70,70018,2024,"Two to six apartments, over 62 years",Two Story,Multi Family,Masonry,3,0,Full and Rec Room,None,No,0,2 car detached,112,2648,Assessor Valuation,No,No,No,No,No,No,No,No,No,No,No,No,2,low,185890,No,No,1927.18
170,20-23-106-057-0000,6404 S GREENWOOD AVE,CHICAGO,Hyde Park,211,3675,70,70018,2024,"Two to six apartments, over 62 years",Three Story,Multi Family,Masonry,3,0,Full and Unfinished,None,No,0,2.5 car detached,130,4773,Assessor Valuation,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,3,low,208020,No,Yes,654.28
